,subject,P300tar_N1FzL,P300tar_N1FzA,P300tar_N1CzL,P300tar_N1CzA,P300tar_N1PzL,P300tar_N1PzA,P300tar_P2FzL,P300tar_P2FzA,P300tar_P2CzL,P300tar_P2CzA,P300tar_P2PzL,P300tar_P2PzA,P300tar_N2FzL,P300tar_N2FzA,P300tar_N2CzL,P300tar_N2CzA,P300tar_N2PzL,P300tar_N2PzA,P300tar_P3FzL,P300tar_P3FzA,P300tar_P3CzL,P300tar_P3CzA,P300tar_P3PzL,P300tar_P3PzA,P300distr_N1FzL,P300distr_N1FzA,P300distr_N1CzL,P300distr_N1CzA,P300distr_N1PzL,P300distr_N1PzA,P300distr_P2FzL,P300distr_P2FzA,P300distr_P2CzL,P300distr_P2CzA,P300distr_P2PzL,P300distr_P2PzA,P300distr_N2FzL,P300distr_N2FzA,P300distr_N2CzL,P300distr_N2CzA,P300distr_N2PzL,P300distr_N2PzA,P300distr_P3FzL,P300distr_P3FzA,P300distr_P3CzL,P300distr_P3CzA,P300distr_P3PzL,P300distr_P3PzA
0,1,0.35892949669374724,0.10386799130590808,0.3849712430656673,0.19158508268879923,0.126186214900226,0.4943250027019502,0.408953103631705,0.4174722671519694,0.8754244401416023,0.25287857758814747,0.8188477573514662,0.6188149387800419,0.48923765346042697,0.2954685846257723,0.7072054775527656,0.41925199113173417,0.3352918061324684,0.4764879403573551,0.6210199988944936,0.5131638782260685,0.7178506134596861,0.426554522079098,0.6788574712539974,0.55563735148778,0.7424236914442355,0.16941212237019088,0.7765026508146411,0.15339000515032447,0.8877632275103194,0.05533689087650381,0.5696615419744584,0.6599226301166602,0.5974992703966958,0.6979259690777859,0.6502709615785692,0.5177891667410469,0.626367052195886,0.29944087303106504,0.661586399101921,0.32841012031876804,0.11535421051746444,0.04643193097296541,0.3806143248501812,0.6610011375681524,0.8190035957432861,0.4473661418907441,0.8697293040915148,0.4644904045165058
1,1,0.35892949669374724,0.5889534525077289,0.3354112128015884,0.6206574798665971,0.8968559231748401,0.7422289462654548,0.5115071826160924,0.6567446301543042,0.45686603108556,0.587018771752426,0.7833115588362765,0.6798376513987102,0.6881680551743642,0.5965068153016736,0.3632750784782003,0.6073677997074696,0.6331534208295251,0.7020468424771832,0.3151617010891917,0.6820075032855054,0.3946451204721003,0.7705073437512161,0.36216983232685535,0.6951361149111248,0.1703062749967094,0.7470701339167457,0.199851064006376,0.6415839231275883,0.22911607632511485,0.662457956214781,0.16105254732555002,0.4871200285282628,0.1960898033195334,0.4761277460338316,0.8831383005635981,0.7410166422467515,0.31291811478292236,0.48881814823752745,0.2947172700836362,0.44663937572443535,0.7415656747436774,0.7727387189894842,0.34211280993283566,0.737897075805015,0.33928976922848764,0.7567596118827163,0.5026705937884576,0.5966116977428566
2,1,0.31166272067549444,0.3037686822913649,0.4370385932390028,0.10589670407468486,0.5526536620835815,0.116729837241603,0.09097044122885777,0.11166392785809025,0.8213093830630912,0.061307154509822125,0.5139645190536133,0.2284949457369194,0.800229471352994,0.40820897282186147,0.5562431049741388,0.1913655154935549,0.5592798922851979,0.23635907597248254,0.5327105505737931,0.47159711687523176,0.5517168797485869,0.28797761272101213,0.45254534446587336,0.48286951787188886,0.3491657467137285,0.3871417107279276,0.33866780680609354,0.3325126725136478,0.3152282499601868,0.4371113329503865,0.5398626943835354,0.40973368757158424,0.30015730530806944,0.2997870346030163,0.7411002777889301,0.35301597625589265,0.5694780226016855,0.4785761700066825,0.5779358236215318,0.36205096745401566,0.2746386631000096,0.3194583408200684,0.44114548362646044,0.6926191934944371,0.45901954797589467,0.7348007698844478,0.47646739355369483,0.6976618471806433
3,1,0.4612464732670509,0.638591504441262,0.4370385932390028,0.6203135811707461,0.4553999611968637,0.628995350169188,0.23201675113314735,0.5446378132382366,0.26462425033248693,0.5375751359639493,0.430609943802302,0.39904716046451943,0.2695488258963221,0.522038611879245,0.3335079044445066,0.44633304689306835,0.29124062849079496,0.509770996774146,0.3555636789451619,0.586221566591802,0.43874074904714083,0.47363210074707596,0.36216983232685535,0.4735528189197977,0.4055190550553524,0.46728416934849276,0.28729332601060487,0.5156575486627105,0.19277647116351457,0.5828749816582611,0.28366896290202925,0.41360754466144134,0.30015730530806944,0.37814085907940365,0.3375651812647314,0.35995657839566886,0.3938635289862684,0.41800407288813723,0.4018344950292738,0.3925393206479414,0.2746386631000096,0.4548294790669579,0.3055844625765928,0.5082842025197117,0.47986208322750135,0.39911721791624544,0.5026705937884576,0.32463285775937123
4,1,0.35892949669374724,0.6539977316652725,0.3354112128015884,0.6370495253067,0.31771632716835374,0.6189109076496254,0.3760365479687009,0.5583258969266864,0.32321503813926433,0.48057702418396914,0.15032544691016142,0.3474057664220646,0.3454236628203528,0.5934257405245192,0.3941279878016193,0.4294839228273789,0.5338805985669125,0.43349289220343784,0.4423028723909627,0.6995272596868486,0.5517168797485869,0.44615469658333734,0.718353636061031,0.47641266328392323,0.29673469432766664,0.6588581992922963,0.24087362682617783,0.6344325829761571,0.27001453716191304,0.5683452025057302,0.30881737815774657,0.5954429353595387,0.785505210806257,0.5520480738051436,0.4132454062564283,0.505262758822364,0.22090614300257252,0.7344796255081469,0.6065884342131329,0.67946027148907,0.29637562016264474,0.592813015544346,0.7800654846581246,0.7695662888441153,0.6431277247196447,0.7135810603081233,0.67805768217602,0.6949093888980195
5,1,0.2680180982431894,0.634720574357874,0.20920177103064036,0.5783351065957945,0.17583356767847377,0.36809083024855105,0.408953103631705,0.8183112857591391,0.35491168337765383,0.7756546420648045,0.430609943802302,0.5716685756766836,0.31898317754415334,0.5042901587951936,0.3335079044445066,0.5968482023138096,0.43184972901726787,0.5520582933547632,0.3151617010891917,0.8484651506349674,0.3946451204721003,0.8963114370719066,0.32000640527718927,0.7961751038292825,0.3491657467137285,0.7166483072057739,0.33866780680609354,0.7823292929888206,0.6803831182760901,0.7023343180023658,0.3625547228499789,0.7667462235954048,0.3495989513325286,0.7105050708279546,0.38735805025161685,0.5700612808642829,0.33893551622069823,0.7340441008774127,0.2947172700836362,0.7382119890909269,0.23426075208114702,0.6463402046351215,0.21053584796041047,0.8237235060195792,0.22229768335916744,0.8412015016691481,0.32662382148297203,0.7564876406574024
6,1,0.35892949669374724,0.35505152909690246,0.5969428166568919,0.28311117884039494,0.6460388353255421,0.2292366434164977,0.07056358774474254,0.11941218654649649,0.0914773826589341,0.07118676593937504,0.15032544691016142,0.06742094596503066,0.800229471352994,0.9716298306246999,0.8581660317015581,0.9870594363878917,0.8128073802461097,0.9867701698707735,0.2425136705222194,0.9048916010466057,0.25668583526697336,0.9244769738494336,0.10320415666815771,0.8810700608753846,0.3491657467137285,0.4268134121318241,0.45249935522226825,0.37987122629184406,0.6803831182760901,0.40958100907035166,0.41996135389861894,0.38473944219906137,0.0996582896010934,0.09342450443656362,0.16179141286614215,0.11339597418608259,0.8605465959339276,0.9782886373815722,0.9114939926254798,0.9919774427900905,0.8928403802233622,0.9946395836935407,0.17191358584523272,0.8914291303347671,0.20816508152842936,0.9771960015027562,0.18882356723457278,0.9640107946908097
7,1,0.22845686008306212,0.5009816858520351,0.2470453946174111,0.44390999074769394,0.31771632716835374,0.5332763059918931,0.313754067100492,0.6211318846131866,0.32321503813926433,0.6319220093998174,0.37687032973728846,0.6137702389773555,0.8356475019915689,0.7656013521736537,0.8231405778145956,0.8062682155586535,0.29124062849079496,0.6359981520330941,0.22624093332562142,0.5059975945497279,0.2743846634534342,0.4564055812315903,0.22737357548905918,0.51499449336474,0.29673469432766664,0.5479215739460419,0.28729332601060487,0.5195728930380877,0.3152282499601868,0.5126579370220506,0.8331273727546248,0.6463203668676157,0.837080115023209,0.6548593094017054,0.7982340731288543,0.7134771777527842,0.2880276995235222,0.7121979230449906,0.8347788475807576,0.6941841421900505,0.7802828365181171,0.6791670958129106,0.5450931447903956,0.5611383917111585,0.3976238571408925,0.5088783043607595,0.3743195301908797,0.4986056934051286
8,1,0.5142507074227689,0.44142670321475047,0.2892309557752142,0.4527700532214056,0.20591981795079067,0.3870126735338557,0.3760365479687009,0.38850824938286554,0.29306315226162777,0.39593313930406215,0.6489891066687989,0.345442382518805,0.3454236628203528,0.4003187773104535,0.3335079044445066,0.49374279732012016,0.8892806248521482,0.775494099933864,0.8163361043215971,0.2400617707755085,0.43874074904714083,0.5493460884390857,0.406567083284048,0.38064276896532456,0.3491657467137285,0.4330114130729017,0.33866780680609354,0.4809395983395826,0.3152282499601868,0.41939088506036043,0.7968294282634475,0.30791592819613756,0.30015730530806944,0.5142792150960114,0.2911313147742984,0.6330437240862132,0.6799633732893935,0.4178952233216261,0.3199735201381994,0.5172619117137365,0.29637562016264474,0.4072354788144211,0.7800654846581246,0.33711650008982114,0.37775908747453274,0.5209964862740453,0.4245884883936401,0.4996535694202125
9,1,0.9162767159951914,0.23646273869382844,0.7385943288375683,0.43766390130967925,0.7662190295446387,0.5953943376096762,0.5115071826160924,0.09163659525886167,0.45686603108556,0.1889787253908706,0.6489891066687989,0.35667764873972013,0.6067979738733446,0.07312948947242216,0.5562431049741388,0.3430977223467783,0.5592798922851979,0.43232555415938656,0.874931264316832,0.04425807463624885,0.3731785401762793,0.616338659170858,0.45254534446587336,0.7255499380892793,0.8555939161352745,0.3945227181383935,0.6828155361796976,0.5051962077489978,0.7259744048768411,0.4424237084349834,0.28366896290202925,0.14143397585471212,0.3495989513325286,0.27809343014387483,0.46634279758076036,0.3804463534774465,0.3938635289862684,0.17530633572491025,0.4018344950292738,0.33643153190013547,0.4704243941800147,0.40321722120237724,0.25516137293551266,0.5676448784909566,0.2525730125794993,0.7960821238496079,0.22306256903701374,0.668347444603681
